Job_Card_Number,District,Block,Panchayat,Household_Head_Name,Gender,Age,Caste_Category,Asset_Ownership,Job_Days_Last_Year,Total_Payments_Received,Is_Eligible
UP-100044,Bahraich,Block A,Panchayat 2,Person_44,Female,27,ST,TV,12,2007,Yes
UP-100045,Bahraich,Block B,Panchayat 3,Person_45,Male,47,ST,None,12,6445,Yes
UP-100046,Bahraich,Block A,Panchayat 1,Person_46,Female,62,OBC,None,17,11706,Yes
UP-100047,Sitapur,Block A,Panchayat 1,Person_47,Male,22,SC,None,31,12718,Yes
UP-100048,Banda,Block C,Panchayat 1,Person_48,Male,50,OBC,TV,95,13873,Yes
UP-100049,Banda,Block B,Panchayat 2,Person_49,Male,18,SC,None,98,6352,Yes
UP-100050,Sitapur,Block C,Panchayat 2,Person_50,Male,35,OBC,Motorbike,38,10439,Yes
UP-100051,Banda,Block C,Panchayat 3,Person_51,Female,49,SC,Cycle,45,14281,Yes
UP-100052,Sitapur,Block B,Panchayat 3,Person_52,Female,64,SC,TV,28,13094,Yes
UP-100053,Bahraich,Block A,Panchayat 3,Person_53,Male,28,OBC,Fridge,61,2435,Yes
UP-100054,Sitapur,Block A,Panchayat 2,Person_54,Male,38,General,TV,92,1571,Yes
UP-100055,Bahraich,Block B,Panchayat 2,Person_55,Male,43,OBC,Motorbike,61,3382,Yes
UP-100056,Bahraich,Block A,Panchayat 3,Person_56,Female,42,OBC,None,56,10437,Yes
UP-100057,Chitrakoot,Block B,Panchayat 3,Person_57,Male,39,General,Cycle,15,11276,Yes
UP-100058,Sitapur,Block B,Panchayat 2,Person_58,Male,44,SC,None,55,6084,Yes
UP-100059,Chitrakoot,Block C,Panchayat 3,Person_59,Female,30,General,None,9,1277,No
UP-100060,Sitapur,Block B,Panchayat 1,Person_60,Female,50,ST,Cycle,29,14507,Yes
UP-100061,Sitapur,Block C,Panchayat 2,Person_61,Male,51,OBC,Cycle,24,8059,Yes
UP-100062,Chitrakoot,Block A,Panchayat 3,Person_62,Female,58,OBC,None,83,2887,Yes
UP-100063,Chitrakoot,Block A,Panchayat 2,Person_63,Female,52,OBC,Cycle,4,13771,Yes
UP-100064,Sitapur,Block A,Panchayat 1,Person_64,Male,18,OBC,Motorbike,64,2265,Yes
UP-100065,Banda,Block A,Panchayat 2,Person_65,Female,38,ST,Cycle,93,8491,Yes
UP-100066,Bahraich,Block C,Panchayat 2,Person_66,Male,23,OBC,TV,48,14018,Yes
UP-100067,Chitrakoot,Block A,Panchayat 2,Person_67,Female,45,SC,TV,2,2040,Yes
UP-100068,Bahraich,Block B,Panchayat 2,Person_68,Male,34,General,Fridge,44,10109,Yes
UP-100069,Banda,Block B,Panchayat 1,Person_69,Male,22,OBC,Cycle,13,9073,Yes
UP-100070,Banda,Block B,Panchayat 2,Person_70,Male,48,SC,TV,29,10077,Yes
UP-100071,Banda,Block C,Panchayat 2,Person_71,Female,22,OBC,Fridge,67,3752,Yes
UP-100072,Chitrakoot,Block A,Panchayat 3,Person_72,Male,55,OBC,Motorbike,17,9213,Yes
UP-100073,Banda,Block A,Panchayat 2,Person_73,Female,20,OBC,None,61,5569,Yes
UP-100074,Chitrakoot,Block A,Panchayat 3,Person_74,Male,40,OBC,None,36,12383,Yes
UP-100075,Banda,Block C,Panchayat 1,Person_75,Male,54,SC,None,24,7353,No
UP-100076,Bahraich,Block B,Panchayat 1,Person_76,Female,54,OBC,None,47,3353,Yes
UP-100077,Bahraich,Block B,Panchayat 1,Person_77,Male,27,General,Cycle,64,8437,Yes
UP-100078,Sitapur,Block A,Panchayat 1,Person_78,Male,27,ST,TV,52,5799,Yes
UP-100079,Bahraich,Block B,Panchayat 3,Person_79,Female,36,OBC,TV,78,1686,Yes
UP-100080,Sitapur,Block B,Panchayat 2,Person_80,Male,34,ST,None,72,9476,Yes
UP-100081,Bahraich,Block C,Panchayat 1,Person_81,Male,38,ST,Motorbike,14,5811,Yes
UP-100082,Chitrakoot,Block C,Panchayat 2,Person_82,Male,31,OBC,Cycle,48,12939,Yes
UP-100083,Bahraich,Block C,Panchayat 3,Person_83,Male,26,OBC,TV,87,9954,Yes
UP-100084,Sitapur,Block C,Panchayat 3,Person_84,Female,63,SC,Motorbike,67,6346,Yes
UP-100085,Sitapur,Block A,Panchayat 3,Person_85,Female,18,OBC,Cycle,11,6043,Yes
UP-100086,Banda,Block C,Panchayat 1,Person_86,Male,62,SC,None,58,3428,Yes
UP-100087,Chitrakoot,Block B,Panchayat 2,Person_87,Female,30,SC,TV,36,11699,Yes
UP-100088,Bahraich,Block A,Panchayat 2,Person_88,Male,21,SC,None,60,6126,Yes
UP-100089,Banda,Block B,Panchayat 2,Person_89,Female,18,SC,None,100,9220,Yes
UP-100090,Bahraich,Block B,Panchayat 3,Person_90,Male,57,ST,TV,42,10098,Yes
UP-100091,Bahraich,Block B,Panchayat 1,Person_91,Male,49,OBC,None,69,12296,No
UP-100092,Banda,Block C,Panchayat 3,Person_92,Male,51,OBC,TV,38,8813,Yes
UP-100093,Banda,Block C,Panchayat 3,Person_93,Male,45,SC,None,55,13191,Yes
UP-100094,Banda,Block A,Panchayat 2,Person_94,Male,48,OBC,Motorbike,62,12186,Yes
UP-100095,Banda,Block A,Panchayat 3,Person_95,Male,25,OBC,None,45,11698,Yes
UP-100096,Banda,Block C,Panchayat 2,Person_96,Female,56,ST,Fridge,87,13857,Yes
UP-100097,Bahraich,Block B,Panchayat 1,Person_97,Male,43,General,TV,10,12801,Yes
UP-100098,Banda,Block A,Panchayat 2,Person_98,Female,51,General,None,61,12745,Yes
UP-100099,Chitrakoot,Block C,Panchayat 1,Person_99,Male,20,SC,Cycle,76,10645,Yes
UP-100100,Sitapur,Block C,Panchayat 2,Person_100,Female,29,ST,Fridge,97,14025,Yes
UP-100101,Banda,Block C,Panchayat 3,Person_101,Female,18,General,None,24,4356,Yes
UP-100102,Banda,Block B,Panchayat 3,Person_102,Female,61,OBC,None,70,9707,Yes
UP-100103,Bahraich,Block C,Panchayat 1,Person_103,Male,22,SC,None,51,8266,Yes
UP-100104,Banda,Block C,Panchayat 1,Person_104,Male,47,OBC,Cycle,3,7540,Yes
UP-100105,Banda,Block C,Panchayat 1,Person_105,Female,47,OBC,TV,58,1038,Yes
UP-100106,Banda,Block C,Panchayat 2,Person_106,Male,34,OBC,Cycle,71,4342,Yes
UP-100107,Bahraich,Block A,Panchayat 2,Person_107,Female,64,OBC,None,19,10078,Yes
UP-100108,Banda,Block A,Panchayat 1,Person_108,Male,40,OBC,None,92,3844,Yes
UP-100109,Sitapur,Block C,Panchayat 3,Person_109,Female,32,SC,Cycle,62,11396,Yes
UP-100110,Bahraich,Block B,Panchayat 2,Person_110,Female,54,SC,None,53,2098,Yes
UP-100111,Sitapur,Block A,Panchayat 2,Person_111,Male,38,OBC,None,73,8027,Yes
UP-100112,Bahraich,Block C,Panchayat 2,Person_112,Female,31,General,Motorbike,97,2823,Yes
UP-100113,Banda,Block A,Panchayat 1,Person_113,Male,19,ST,Cycle,56,12393,Yes
UP-100114,Sitapur,Block A,Panchayat 1,Person_114,Female,28,OBC,Cycle,89,14998,Yes
UP-100115,Bahraich,Block B,Panchayat 1,Person_115,Female,56,OBC,TV,40,14261,Yes
UP-100116,Chitrakoot,Block C,Panchayat 1,Person_116,Male,55,ST,Cycle,2,4155,No
UP-100117,Banda,Block C,Panchayat 1,Person_117,Male,51,OBC,TV,5,4093,Yes
UP-100118,Bahraich,Block B,Panchayat 3,Person_118,Male,55,OBC,None,4,12722,Yes
UP-100119,Chitrakoot,Block B,Panchayat 3,Person_119,Female,51,OBC,None,4,6658,Yes
UP-100120,Bahraich,Block C,Panchayat 1,Person_120,Male,35,OBC,None,53,4778,Yes
UP-100121,Chitrakoot,Block C,Panchayat 2,Person_121,Female,47,ST,None,46,3896,Yes
UP-100122,Banda,Block B,Panchayat 1,Person_122,Female,32,OBC,TV,86,12645,Yes
UP-100123,Sitapur,Block A,Panchayat 3,Person_123,Male,44,ST,None,48,12703,No
UP-100124,Chitrakoot,Block A,Panchayat 3,Person_124,Male,51,ST,None,8,1988,Yes
UP-100125,Bahraich,Block B,Panchayat 2,Person_125,Female,55,OBC,None,98,5116,Yes
UP-100126,Banda,Block A,Panchayat 3,Person_126,Female,50,SC,None,19,7446,Yes
UP-100127,Chitrakoot,Block B,Panchayat 1,Person_127,Male,41,SC,TV,60,14156,Yes
UP-100128,Bahraich,Block A,Panchayat 2,Person_128,Male,32,OBC,None,34,13218,Yes
UP-100129,Bahraich,Block A,Panchayat 1,Person_129,Male,47,ST,Cycle,49,5179,Yes
UP-100130,Bahraich,Block C,Panchayat 1,Person_130,Male,59,ST,None,81,2682,Yes
UP-100131,Chitrakoot,Block C,Panchayat 2,Person_131,Male,34,OBC,Cycle,61,14698,No
UP-100132,Chitrakoot,Block A,Panchayat 1,Person_132,Female,22,OBC,TV,16,6626,Yes
UP-100133,Chitrakoot,Block A,Panchayat 3,Person_133,Female,46,SC,None,87,8424,Yes
UP-100134,Sitapur,Block C,Panchayat 1,Person_134,Female,21,OBC,TV,2,13857,Yes
UP-100135,Chitrakoot,Block C,Panchayat 2,Person_135,Female,27,ST,None,31,13155,Yes
UP-100136,Chitrakoot,Block C,Panchayat 2,Person_136,Male,34,OBC,None,98,1933,Yes
UP-100137,Chitrakoot,Block B,Panchayat 2,Person_137,Male,27,OBC,Fridge,12,4598,Yes
UP-100138,Sitapur,Block A,Panchayat 1,Person_138,Male,34,General,None,88,12425,Yes
UP-100139,Chitrakoot,Block C,Panchayat 2,Person_139,Female,37,OBC,None,72,2980,Yes
UP-100140,Bahraich,Block A,Panchayat 2,Person_140,Female,41,OBC,TV,67,11047,Yes
UP-100141,Chitrakoot,Block B,Panchayat 1,Person_141,Male,22,OBC,None,13,4056,No
UP-100142,Bahraich,Block B,Panchayat 3,Person_142,Male,51,SC,TV,100,9984,Yes
UP-100143,Bahraich,Block C,Panchayat 1,Person_143,Female,23,SC,None,97,1791,Yes
UP-100144,Bahraich,Block B,Panchayat 2,Person_144,Female,19,OBC,Motorbike,10,11001,Yes
UP-100145,Sitapur,Block A,Panchayat 2,Person_145,Male,30,ST,TV,55,6390,No
UP-100146,Sitapur,Block C,Panchayat 1,Person_146,Male,60,OBC,Cycle,66,7635,Yes
UP-100147,Sitapur,Block A,Panchayat 3,Person_147,Female,60,SC,Motorbike,91,3255,Yes
UP-100148,Chitrakoot,Block A,Panchayat 2,Person_148,Male,28,OBC,None,28,4610,Yes
UP-100149,Bahraich,Block B,Panchayat 2,Person_149,Male,64,ST,Fridge,8,2607,Yes
UP-100150,Sitapur,Block B,Panchayat 2,Person_150,Male,40,ST,None,66,6179,Yes
UP-100151,Sitapur,Block B,Panchayat 1,Person_151,Female,33,OBC,None,24,7573,Yes
UP-100152,Chitrakoot,Block B,Panchayat 2,Person_152,Female,48,OBC,None,97,1984,Yes
UP-100153,Sitapur,Block B,Panchayat 3,Person_153,Female,28,OBC,Cycle,75,6776,Yes
UP-100154,Chitrakoot,Block C,Panchayat 2,Person_154,Female,33,ST,None,41,4676,Yes
UP-100155,Banda,Block A,Panchayat 2,Person_155,Female,25,ST,TV,8,4380,Yes
UP-100156,Sitapur,Block A,Panchayat 3,Person_156,Female,21,OBC,TV,78,9711,Yes
UP-100157,Banda,Block A,Panchayat 2,Person_157,Female,57,SC,Fridge,39,9782,Yes
UP-100158,Chitrakoot,Block A,Panchayat 1,Person_158,Male,21,OBC,None,24,2050,Yes
UP-100159,Bahraich,Block B,Panchayat 1,Person_159,Male,42,OBC,Cycle,4,14997,Yes
UP-100160,Sitapur,Block A,Panchayat 1,Person_160,Male,20,OBC,None,10,4633,Yes
UP-100161,Chitrakoot,Block C,Panchayat 3,Person_161,Male,49,OBC,None,58,7342,No
UP-100162,Bahraich,Block C,Panchayat 2,Person_162,Male,20,OBC,None,97,13636,Yes
UP-100163,Bahraich,Block A,Panchayat 1,Person_163,Male,44,General,None,87,1959,Yes
UP-100164,Banda,Block A,Panchayat 3,Person_164,Male,46,ST,TV,78,7059,Yes
UP-100165,Chitrakoot,Block C,Panchayat 2,Person_165,Female,49,SC,Cycle,37,9884,Yes
UP-100166,Bahraich,Block C,Panchayat 3,Person_166,Female,36,ST,None,71,6655,Yes
UP-100167,Sitapur,Block B,Panchayat 1,Person_167,Male,38,SC,None,4,13091,Yes
UP-100168,Sitapur,Block C,Panchayat 1,Person_168,Male,22,OBC,None,47,5473,Yes
UP-100169,Banda,Block B,Panchayat 1,Person_169,Female,35,General,None,89,3946,Yes
UP-100170,Bahraich,Block B,Panchayat 3,Person_170,Male,45,SC,Fridge,17,8725,No
UP-100171,Chitrakoot,Block B,Panchayat 3,Person_171,Male,59,SC,None,69,1526,Yes
UP-100172,Sitapur,Block B,Panchayat 1,Person_172,Female,39,SC,None,36,4224,Yes
UP-100173,Bahraich,Block B,Panchayat 3,Person_173,Male,38,OBC,None,59,11445,Yes
UP-100174,Bahraich,Block A,Panchayat 1,Person_174,Female,23,OBC,TV,47,12536,Yes
UP-100175,Banda,Block C,Panchayat 1,Person_175,Male,18,SC,Fridge,76,13157,Yes
UP-100176,Sitapur,Block B,Panchayat 2,Person_176,Female,22,General,TV,27,14547,Yes
UP-100177,Sitapur,Block C,Panchayat 3,Person_177,Female,58,OBC,Cycle,68,2875,No
UP-100178,Chitrakoot,Block C,Panchayat 1,Person_178,Female,29,SC,Cycle,76,2763,Yes
UP-100179,Sitapur,Block B,Panchayat 1,Person_179,Male,43,OBC,None,80,9712,Yes
UP-100180,Chitrakoot,Block A,Panchayat 3,Person_180,Female,63,OBC,Fridge,39,6797,No
UP-100181,Sitapur,Block B,Panchayat 2,Person_181,Male,51,ST,TV,44,10208,Yes
UP-100182,Banda,Block A,Panchayat 2,Person_182,Male,31,SC,Cycle,95,8099,Yes
UP-100183,Sitapur,Block C,Panchayat 1,Person_183,Male,43,SC,TV,61,6109,Yes
UP-100184,Chitrakoot,Block A,Panchayat 3,Person_184,Male,62,SC,TV,92,7644,Yes
UP-100185,Chitrakoot,Block A,Panchayat 2,Person_185,Female,44,OBC,Cycle,57,1116,No
UP-100186,Banda,Block A,Panchayat 3,Person_186,Female,26,General,Fridge,66,3433,Yes
UP-100187,Sitapur,Block C,Panchayat 3,Person_187,Male,43,SC,Motorbike,55,6463,Yes
UP-100188,Sitapur,Block C,Panchayat 1,Person_188,Male,64,SC,Cycle,39,1583,Yes
UP-100189,Banda,Block A,Panchayat 2,Person_189,Female,39,SC,Cycle,97,9586,No
UP-100190,Sitapur,Block A,Panchayat 1,Person_190,Male,64,SC,None,39,14375,Yes
UP-100191,Sitapur,Block B,Panchayat 2,Person_191,Female,47,OBC,Cycle,90,4788,No
UP-100192,Chitrakoot,Block A,Panchayat 2,Person_192,Male,60,ST,None,76,11960,Yes
UP-100193,Sitapur,Block B,Panchayat 2,Person_193,Male,34,ST,Cycle,32,5167,Yes
UP-100194,Sitapur,Block A,Panchayat 2,Person_194,Female,43,SC,Fridge,5,13052,Yes
UP-100195,Banda,Block B,Panchayat 2,Person_195,Male,53,OBC,Cycle,87,9465,Yes
UP-100196,Banda,Block C,Panchayat 3,Person_196,Female,18,ST,None,18,11205,Yes
UP-100197,Bahraich,Block A,Panchayat 1,Person_197,Male,25,OBC,None,79,14631,Yes
UP-100198,Chitrakoot,Block A,Panchayat 3,Person_198,Male,52,SC,None,39,13625,Yes
UP-100199,Sitapur,Block A,Panchayat 2,Person_199,Male,32,OBC,TV,91,2389,No
